,0
Wyndhamnights,1.2944444444444445
Westinnights,1.300561797752809
Sheratonnights,1.3342696629213484
Hyattnights,1.4621848739495797
Courtyardnights,1.5238095238095237
Marriottnights,1.824022346368715
Hiltonnights,1.8535211267605634
