,correlation_with_SCRmerid
pamMerid,-0.11054825448075896
specMeridien,-0.010213244318474226
sucMeridien,0.136779530596155
wmMerid,0.20268239533793878
cfreeMerid,0.214394946486936
Meridienpf,0.3503969221070462
Meridiennights,0.3718140160649375
clMerid,0.39225022729982256
safeMeridien,0.5184682727905645
wellMerid,0.5489825390994219
Meridienpen,
