,average_SCR
SCRmerid,0.0468421052631579
SCRwestin,0.14462962962962964
SCRsher,0.1829850746268657
SCRhyatt,0.21721649484536082
SCRmarriott,0.26073863636363637
SCRhilt,0.28745341614906833
